iter	Passed	Remaining
0	151	151640
1	152	76128
2	153	50917
3	153	38305
4	154	30741
5	155	25701
6	155	22096
7	156	19401
8	157	17303
9	157	15623
10	158	14249
11	159	13103
12	159	12132
13	160	11317
14	161	10603
15	162	9969
16	162	9411
17	163	8908
18	163	8459
19	164	8054
20	164	7689
21	165	7357
22	166	7053
23	166	6774
24	167	6519
25	167	6282
26	168	6062
27	168	5859
28	169	5670
29	169	5494
30	170	5328
31	171	5173
32	171	5027
33	172	4890
34	172	4760
35	173	4639
36	173	4524
37	174	4418
38	175	4313
39	175	4213
40	176	4120
41	176	4032
42	177	3946
43	177	3864
44	178	3785
45	178	3711
46	179	3639
47	180	3570
48	180	3504
49	181	3442
50	181	3381
51	182	3324
52	182	3268
53	183	3213
54	184	3161
55	184	3111
56	185	3063
57	185	3016
58	186	2971
59	186	2927
60	187	2885
61	188	2845
62	188	2808
63	189	2773
64	190	2736
65	190	2699
66	191	2664
67	191	2631
68	192	2598
69	193	2566
70	193	2535
71	194	2505
72	195	2476
73	195	2447
74	196	2420
75	196	2394
76	197	2366
77	198	2340
78	198	2314
79	199	2289
80	199	2264
81	200	2242
82	200	2216
83	201	2195
84	201	2173
85	202	2151
86	203	2130
87	203	2110
88	204	2090
89	204	2071
90	205	2053
91	206	2034
92	206	2016
93	207	1999
94	208	1981
95	208	1964
96	209	1946
97	209	1929
98	210	1912
99	210	1896
100	211	1879
101	211	1863
102	212	1848
103	212	1833
104	213	1818
105	213	1804
106	214	1789
107	214	1775
108	215	1761
109	216	1747
110	216	1734
111	217	1721
112	217	1708
113	218	1696
114	219	1685
115	219	1673
116	220	1660
117	220	1649
118	221	1638
119	222	1628
120	222	1616
121	223	1605
122	223	1594
123	224	1583
124	224	1572
125	225	1562
126	225	1551
127	226	1541
128	226	1531
129	227	1521
130	227	1511
131	228	1501
132	228	1492
133	229	1482
134	229	1473
135	230	1464
136	230	1455
137	231	1446
138	232	1438
139	232	1430
140	233	1422
141	233	1413
142	234	1405
143	235	1397
144	235	1390
145	236	1382
146	236	1374
147	237	1366
148	238	1359
149	238	1353
150	239	1345
151	239	1338
152	240	1330
153	240	1323
154	241	1316
155	241	1308
156	242	1302
157	243	1295
158	243	1288
159	244	1282
160	244	1275
161	245	1269
162	246	1263
163	246	1256
164	247	1250
165	247	1244
166	248	1239
167	249	1233
168	249	1227
169	250	1222
170	250	1216
171	251	1211
172	252	1205
173	252	1199
174	253	1193
175	253	1188
176	254	1182
177	254	1176
178	255	1171
179	255	1165
180	256	1160
181	257	1155
182	257	1150
183	258	1144
184	258	1139
185	259	1134
186	259	1129
187	260	1123
188	260	1118
189	261	1114
190	261	1109
191	262	1104
192	263	1100
193	263	1095
194	264	1090
195	264	1086
196	265	1082
197	266	1077
198	266	1073
199	267	1068
200	267	1063
201	268	1059
202	268	1055
203	269	1051
204	269	1046
205	270	1042
206	271	1038
207	271	1034
208	272	1030
209	272	1026
210	273	1021
211	273	1017
212	274	1013
213	275	1010
214	275	1006
